reduction_ratio,rating
30.354028,poor
70.535359,good
0.275382,poor
49.542560,skip
95.691132,poor
50.487979,fair
53.621640,excellent
87.373792,poor
76.413250,skip
95.078428,excellent
93.768102,poor
34.459189,skip
94.329672,terrible
98.206275,skip
0.037973,terrible
72.605736,fair
4.873721,skip
91.496325,skip
96.258861,excellent
96.540919,skip
98.726017,skip
98.247193,fair
76.541772,terrible
55.620169,poor
84.315006,excellent
4.722510,skip
0.767570,skip
34.026447,skip
96.614360,skip
92.121613,skip
30.126536,skip
78.219962,terrible
59.833375,skip
95.826731,terrible
84.270938,skip
64.589138,fair
93.295182,excellent
59.611591,skip
65.483901,good
55.122634,skip
74.527656,skip
73.212385,terrible
92.675996,good
76.565277,skip
75,good
98.060152,terrible
98.190208,terrible
92.216416,poor
55.455793,terrible
65.726388,terrible
78.960323,poor
91.737435,fair
75.675075,skip
4.658649,skip
49.425097,skip
80.029140,skip
52.088648,skip
96.971145,skip
59.104491,skip
81.788772,skip
74.297859,excellent
97.179416,fair
56.420414,skip
71.843207,skip
54.821354,terrible
75.883982,skip
74.200029,skip
94.774157,terrible
96.370158,terrible
75.014454,skip
95.983054,excellent
52.249880,fair
94.693662,skip
36.398592,poor
71.083396,terrible
88.285211,terrible
76.327175,skip
97.375400,skip
76.153736,fair
73.660480,skip
42.430984,excellent
57.013973,poor
79.762577,fair
97.201025,skip
93.112718,terrible
69.081108,poor
82.760122,excellent
98.426007,skip
70.178963,poor
0.080432,skip
97.661263,skip
30.025577,skip
79.361393,excellent
71.189314,skip
75.384002,skip
40.639308,poor
70.102189,skip
96.620953,fair
3.255368,skip
77.557818,terrible
70.975569,skip
89.177857,terrible
75.285242,excellent
76.156322,terrible
98.635093,fair
44.138276,skip
0.182401,fair
73.912431,terrible
76.010168,skip
0.218994,skip
95.063524,excellent
36.587165,skip
60.315080,skip
68.431608,fair
95.115693,terrible
73.587291,terrible
95.839006,fair
2.679805,poor
99.424081,poor
99.453891,poor
82.984572,skip
38.092752,excellent
72.620972,fair
71.112359,poor
78.355068,excellent
97.231562,skip
84.285844,excellent
56.301379,terrible
76.442838,good
78.096014,fair
65.315441,skip
78.656818,skip
4.558351,skip
49.384935,excellent
99.287484,good
64.092559,fair
89.845940,skip
76.996921,skip
84.062462,skip
85.319767,skip
50.201328,poor
97.675017,good
51.993428,skip
96.836217,excellent
34.258400,skip
94.193911,poor
9.138279,skip
10.285299,excellent
98.859500,terrible
80.606551,good
54.132973,terrible
79.447576,skip
38.660801,terrible
44.545499,fair
91.168618,fair
48.825569,skip
53.874456,skip
65.555291,fair
84.206655,skip
34.109635,fair
37.345050,skip
73.229863,skip
0.087914,fair
0.512605,poor
95.293228,terrible
72.711078,skip
99.306342,fair
4.285372,poor
31.958031,skip
99.563433,skip
34.169606,skip
46.207589,fair
94.598442,skip
99.301651,terrible
81.552148,excellent
76.184117,terrible
0.766605,terrible
71.874739,poor
98.960394,excellent
0.289733,skip
35.139669,skip
42.623937,terrible
93.666960,terrible
62.614386,good
76.021216,terrible
95.073902,skip
88.896354,fair
76.497172,skip
79.565358,skip
77.856299,skip
99.921977,good
74.910756,fair
75.144702,excellent
95.921483,terrible
74.019830,skip
76.016810,good
95.493547,skip
58.590683,fair
95.435899,fair
96.547923,skip
80.063251,skip
75.647789,poor
99.202419,terrible
94.062128,good
61.563146,skip
5.899918,skip
0.164287,skip
80.733390,excellent
45.966742,skip
97.446008,fair
95.063331,fair
78.398760,skip
99.694972,skip
74.654421,terrible
75.773814,skip
35.253811,skip
9.265404,excellent
73.280936,terrible
74.865062,poor
90.422018,skip
0.312104,fair
79.736664,skip
66.190491,good
73.551207,poor
74.233216,skip
47.754808,terrible
94.469128,excellent
63.332624,skip
77.846735,excellent
79.171148,skip
56.958927,poor
75.128186,skip
99.483939,skip
73.962339,skip
73.985992,poor
74.744217,fair
99.476340,skip
74.188699,fair
78.169681,skip
98.231177,fair
85.766071,skip
71.655974,skip
94.451391,fair
4.865573,skip
81.613475,terrible
99.306183,excellent
36.959148,terrible
97.010797,good
0.429000,poor
